Start Station Name,Rides Started
Kedvale Ave & 63rd St,8
Kedvale Ave & Addison St,4
Kedvale Ave & Avondale Ave,11
Kedzie & 103rd St - East,3
Kedzie & 103rd St - West,3
Kedzie Ave & 104th St,81
Kedzie Ave & 110th St,86
Kedzie Ave & 21st St,328
Kedzie Ave & 24th St,169
Kedzie Ave & 45th St,136
Kedzie Ave & 48th Pl,846
Kedzie Ave & 52nd St,157
Kedzie Ave & 54th St - SE,33
Kedzie Ave & 54th St - SW,26
Kedzie Ave & 57th St,348
Kedzie Ave & 58th St,31
Kedzie Ave & 61st Pl,50
Kedzie Ave & 63rd St,20
Kedzie Ave & 64th St - SE,1
Kedzie Ave & 64th St - SW,14
Kedzie Ave & Archer Ave,13
Kedzie Ave & Argyle St,6
Kedzie Ave & Bryn Mawr Ave,475
Kedzie Ave & Chicago Ave,377
Kedzie Ave & Foster Ave,647
Kedzie Ave & George St,496
Kedzie Ave & Harrison St,136
Kedzie Ave & Lake St,458
Kedzie Ave & Leland Ave,711
Kedzie Ave & Milwaukee Ave,7242
Kedzie Ave & Palmer Ct,2119
Kedzie Ave & Pershing Rd,12
Kedzie Ave & Roosevelt Rd,274
Keef Ave & South Chicago Ave,1
Keeler Ave & 55th St,3
Keeler Ave & Madison St,4
Keeler Ave & Roosevelt Rd,70
Kenneth Ave & 50th St,90
Kenneth Ave & 63rd St,7
Kenosha & Wellington,238
Kenton Ave & Madison St,85
Kenton Ave & Palmer St,32
Keystone Ave & Fullerton Ave,680
Keystone Ave & Irving Park Rd,18
Keystone Ave & Montrose Ave,517
Keystone Ave & North Ave,28
Kilbourn & Belden,246
Kilbourn & Roscoe,300
Kilbourn Ave & Fullerton Ave,8
Kilbourn Ave & Irving Park Rd,300
Kilbourn Ave & Milwaukee Ave,215
Kildare & Cermak,68
Kildare Ave & 26th St,60
Kildare Ave & 47th St,107
Kildare Ave & 55th St,74
Kildare Ave & 63rd St,7
Kildare Ave & Chicago Ave,41
Kildare Ave & Division St,38
Kildare Ave & Montrose Ave,394
Kildare Ave & Washignton Blvd,3
Kilpatrick Ave & Grand Ave,207
Kilpatrick Ave & Parker Ave,355
Kimball Ave & Belmont Ave,1371
Kimball Ave & Carmen Ave,9
Kimbark Ave & 53rd St,5040
Kimbark Ave & 63rd St,3
Kimbark Ave & 67th St,47
King Dr & 83rd St,2
Kingsbury St & Erie St,5366
Kingsbury St & Kinzie St,8788
Knox Ave & Montrose Ave,556
Kolin Ave & Archer Ave,14
Komensky Ave & 31st St,207
Komensky Ave & 55th St,131
Komensky Ave & 59th St,23
Kosciuszko Park,1313
Kostner Ave & 63rd St,133
Kostner Ave & Adams St,68
Kostner Ave & Armitage Ave,171
